Marca,Targa,Colore,Cilindrata,Tipo_Cambio,Prezzo
BMW,AB123CD,Nero,2000,Automatico,30000
AUDI,CD456EF,Bianco,1800,Manuale,25000
MERCEDES,EF789GH,Argento,2200,Automatico,35000
TOYOTA,GH012IJ,Rosso,1600,Manuale,20000
BMW,IJ345KL,Blu,2500,Automatico,40000
AUDI,KL678MN,Nero,1900,Automatico,27000
MERCEDES,MN901OP,Grigio,2400,Manuale,38000
TOYOTA,OP234QR,Bianco,1700,Manuale,21000
BMW,QR567ST,Nero,2300,Automatico,38000
AUDI,ST890UV,Argento,2000,Manuale,28000
MERCEDES,UV123WX,Blu,2100,Automatico,36000
TOYOTA,WX456YZ,Nero,1800,Automatico,22000
BMW,YZ789AB,Rosso,2400,Manuale,39000
AUDI,AB901CD,Bianco,1700,Automatico,26000
MERCEDES,CD234EF,Nero,2200,Manuale,37000
TOYOTA,EF567GH,Grigio,1900,Manuale,23000
BMW,GH890IJ,Blu,2600,Automatico,42000
AUDI,IJ012KL,Argento,1800,Manuale,29000
MERCEDES,KL345MN,Nero,2300,Automatico,38000
TOYOTA,MN678OP,Rosso,2000,Automatico,24000
BMW,OP901QR,Bianco,2500,Manuale,40000
AUDI,QR234ST,Grigio,1900,Automatico,30000
MERCEDES,ST567UV,Nero,2400,Manuale,39000
TOYOTA,UV890WX,Blu,1700,Manuale,21000
BMW,WX123YZ,Rosso,2200,Automatico,37000
AUDI,YZ456AB,Nero,2000,Manuale,27000
MERCEDES,AB789CD,Argento,2300,Automatico,38000
TOYOTA,CD012EF,Grigio,1800,Manuale,22000
BMW,EF345GH,Blu,2400,Automatico,40000
AUDI,GH678IJ,Rosso,1900,Automatico,29000
MERCEDES,IJ901KL,Nero,2500,Manuale,40000
TOYOTA,KL234MN,Bianco,1600,Manuale,20000
BMW,MN567OP,Argento,2600,Automatico,42000
AUDI,OP890QR,Nero,1800,Manuale,28000
MERCEDES,QR123ST,Blu,2100,Automatico,36000
TOYOTA,ST456UV,Rosso,1700,Manuale,21000
BMW,UV789WX,Bianco,2300,Automatico,39000
AUDI,WX012YZ,Grigio,2000,Manuale,30000
MERCEDES,YZ345AB,Nero,2400,Automatico,39000
TOYOTA,AB678CD,Blu,1900,Manuale,23000
BMW,CD901EF,Rosso,2500,Automatico,41000
AUDI,EF234GH,Argento,1700,Manuale,27000
MERCEDES,GH567IJ,Nero,2200,Automatico,37000
TOYOTA,IJ890KL,Bianco,1600,Manuale,20000
BMW,KL123MN,Grigio,2400,Automatico,39000
AUDI,MN456OP,Nero,1800,Manuale,28000
MERCEDES,OP789QR,Blu,2100,Automatico,36000
TOYOTA,QR012ST,Rosso,1700,Manuale,21000
BMW,ST345UV,Bianco,2300,Automatico,39000
AUDI,UV678WX,Argento,2000,Manuale,29000
MERCEDES,WX901YZ,Nero,2500,Automatico,40000
TOYOTA,YZ234AB,Blu,1800,Manuale,22000
BMW,AB567CD,Rosso,2600,Automatico,42000
AUDI,CD890EF,Grigio,1900,Manuale,28000
MERCEDES,EF123GH,Nero,2200,Automatico,37000
TOYOTA,GH456IJ,Bianco,1700,Manuale,21000
BMW,IJ789KL,Argento,2400,Automatico,40000
AUDI,KL012MN,Nero,1800,Manuale,27000
MERCEDES,MN345OP,Blu,2100,Automatico,36000
TOYOTA,OP678QR,Rosso,1600,Manuale,20000
BMW,QR901ST,Grigio,2500,Automatico,41000
AUDI,ST234UV,Nero,1900,Manuale,29000
MERCEDES,UV567WX,Argento,2200,Automatico,38000
TOYOTA,WX890YZ,Blu,1800,Manuale,22000
BMW,YZ123AB,Rosso,2300,Automatico,38000
AUDI,AB456CD,Bianco,2000,Manuale,30000
MERCEDES,CD789EF,Nero,2400,Automatico,39000
TOYOTA,EF012GH,Argento,1700,Manuale,21000
BMW,GH345IJ,Blu,2600,Automatico,42000
AUDI,IJ678KL,Rosso,1800,Automatico,29000
MERCEDES,KL901MN,Grigio,2300,Manuale,38000
TOYOTA,MN234OP,Nero,2000,Automatico,24000
BMW,OP567QR,Bianco,2500,Manuale,40000
AUDI,QR890ST,Blu,1900,Automatico,30000
MERCEDES,ST012UV,Rosso,2200,Manuale,37000
TOYOTA,UV345WX,Argento,1700,Manuale,21000
BMW,WX678YZ,Nero,2400,Automatico,39000
AUDI,YZ901AB,Grigio,2000,Manuale,30000
MERCEDES,AB234CD,Rosso,2300,Automatico,38000
TOYOTA,CD567EF,Bianco,1600,Manuale,20000
BMW,EF890GH,Argento,2500,Automatico,41000
AUDI,GH123IJ,Nero,1800,Manuale,27000
MERCEDES,IJ456KL,Blu,2100,Automatico,36000
TOYOTA,KL789MN,Rosso,1700,Manuale,21000
BMW,MN012OP,Grigio,2600,Automatico,42000
AUDI,OP345QR,Nero,1900,Manuale,28000
MERCEDES,QR678ST,Argento,2200,Automatico,38000
TOYOTA,ST901UV,Blu,1800,Manuale,22000
BMW,UV234WX,Rosso,2300,Automatico,38000
AUDI,WX567YZ,Bianco,2000,Manuale,29000
MERCEDES,YZ890AB,Nero,2400,Automatico,39000
TOYOTA,AB123CD,Argento,1700,Manuale,21000
BMW,CD456EF,Blu,2500,Automatico,40000
AUDI,EF789GH,Rosso,1800,Manuale,27000
MERCEDES,GH012IJ,Grigio,2200,Automatico,36000
TOYOTA,IJ345KL,Nero,1600,Manuale,20000
BMW,KL678MN,Bianco,2600,Automatico,42000
AUDI,MN901OP,Argento,1900,Manuale,28000
MERCEDES,OP234QR,Blu,2100,Automatico,37000
TOYOTA,QR567ST,Rosso,1700,Manuale,21000
BMW,ST890UV,Grigio,2300,Automatico,39000
AUDI,UV123WX,Nero,2000,Manuale,30000
MERCEDES,WX456YZ,Argento,2200,Automatico,38000
TOYOTA,YZ789AB,Blu,1800,Manuale,22000
BMW,AB901CD,Rosso,2400,Automatico,39000
AUDI,CD234EF,Bianco,1900,Manuale,29000
MERCEDES,EF567GH,Nero,2100,Automatico,36000
TOYOTA,GH890IJ,Argento,1600,Manuale,20000
BMW,IJ012KL,Blu,2500,Automatico,40000
AUDI,KL345MN,Rosso,1800,Automatico,29000
MERCEDES,MN678OP,Grigio,2200,Automatico,37000
TOYOTA,OP901QR,Nero,1700,Manuale,21000
BMW,QR234ST,Grigio,2500,Automatico,41000
AUDI,ST567UV,Nero,1900,Manuale,29000
MERCEDES,UV890WX,Argento,2200,Automatico,38000
TOYOTA,WX123YZ,Blu,1800,Automatico,22000
BMW,YZ456AB,Rosso,2300,Manuale,37000
AUDI,AB789CD,Bianco,2000,Automatico,30000
MERCEDES,CD012EF,Nero,2400,Manuale,39000
TOYOTA,EF345GH,Argento,1700,Automatico,21000
BMW,GH678IJ,Blu,2600,Manuale,42000
AUDI,IJ901KL,Rosso,1800,Automatico,29000
MERCEDES,KL234MN,Grigio,2300,Manuale,38000
TOYOTA,MN567OP,Nero,2000,Automatico,24000
BMW,OP901QR,Bianco,2500,Manuale,40000
AUDI,QR234ST,Blu,1900,Automatico,30000
MERCEDES,ST567UV,Rosso,2200,Manuale,37000
TOYOTA,UV890WX,Argento,1700,Manuale,21000
BMW,WX123YZ,Nero,2400,Automatico,39000
AUDI,YZ456AB,Grigio,2000,Manuale,30000
MERCEDES,AB789CD,Rosso,2300,Automatico,38000
TOYOTA,CD012EF,Bianco,1600,Manuale,20000
BMW,EF345GH,Argento,2500,Automatico,41000
AUDI,GH678IJ,Blu,2600,Manuale,42000
MERCEDES,IJ901KL,Rosso,1800,Automatico,29000
TOYOTA,KL234MN,Grigio,2300,Manuale,38000
BMW,MN567OP,Nero,2000,Automatico,24000
AUDI,OP901QR,Bianco,2500,Manuale,40000
MERCEDES,QR234ST,Blu,1900,Automatico,30000
TOYOTA,ST567UV,Rosso,2200,Manuale,37000
BMW,UV890WX,Argento,1700,Manuale,21000
AUDI,WX123YZ,Nero,2400,Automatico,39000
MERCEDES,YZ456AB,Grigio,2000,Manuale,30000
TOYOTA,AB789CD,Rosso,2300,Automatico,38000
BMW,CD012EF,Bianco,1600,Manuale,20000
AUDI,EF345GH,Argento,2500,Automatico,41000
MERCEDES,GH678IJ,Blu,2600,Manuale,42000
TOYOTA,IJ901KL,Rosso,1800,Automatico,29000
BMW,KL234MN,Grigio,2300,Manuale,38000
AUDI,MN567OP,Nero,2000,Automatico,24000
MERCEDES,OP901QR,Bianco,2500,Manuale,40000
TOYOTA,QR234ST,Blu,1900,Automatico,30000
BMW,ST567UV,Rosso,2200,Manuale,37000
AUDI,UV890WX,Argento,1700,Manuale,21000
MERCEDES,WX123YZ,Nero,2400,Automatico,39000
TOYOTA,YZ456AB,Grigio,2000,Manuale,30000
BMW,AB789CD,Rosso,2300,Automatico,38000
AUDI,CD012EF,Bianco,1600,Manuale,20000
MERCEDES,EF345GH,Argento,2500,Automatico,41000
TOYOTA,GH678IJ,Blu,2600,Manuale,42000
BMW,IJ901KL,Rosso,1800,Automatico,29000
AUDI,KL234MN,Grigio,2300,Manuale,38000
MERCEDES,MN567OP,Nero,2000,Automatico,24000
TOYOTA,OP901QR,Bianco,2500,Manuale,40000
AUDI,QR234ST,Blu,1900,Automatico,30000
MERCEDES,ST567UV,Rosso,2200,Manuale,37000
TOYOTA,UV890WX,Argento,1700,Manuale,21000
BMW,WX123YZ,Nero,2400,Automatico,39000
AUDI,YZ456AB,Grigio,2000,Manuale,30000
MERCEDES,AB789CD,Rosso,2300,Automatico,38000
TOYOTA,CD012EF,Bianco,1600,Manuale,20000
BMW,EF345GH,Argento,2500,Automatico,41000
AUDI,GH678IJ,Blu,2600,Manuale,42000
MERCEDES,IJ901KL,Rosso,1800,Automatico,29000
TOYOTA,KL234MN,Grigio,2300,Manuale,38000
BMW,MN567OP,Nero,2000,Automatico,24000
AUDI,OP901QR,Bianco,2500,Manuale,40000
MERCEDES,QR234ST,Blu,1900,Automatico,30000
TOYOTA,ST567UV,Rosso,2200,Manuale,37000
AUDI,UV890WX,Argento,1700,Manuale,21000
BMW,WX123YZ,Nero,2400,Automatico,39000
AUDI,YZ456AB,Grigio,2000,Manuale,30000
MERCEDES,AB789CD,Rosso,2300,Automatico,38000
TOYOTA,CD012EF,Bianco,1600,Manuale,20000
BMW,EF345GH,Argento,2500,Automatico,41000
AUDI,GH678IJ,Blu,2600,Manuale,42000
MERCEDES,IJ901KL,Rosso,1800,Automatico,29000
TOYOTA,KL234MN,Grigio,2300,Manuale,38000
BMW,MN567OP,Nero,2000,Automatico,24000
AUDI,OP901QR,Bianco,2500,Manuale,40000
MERCEDES,QR234ST,Blu,1900,Automatico,30000
TOYOTA,ST567UV,Rosso,2200,Manuale,37000
AUDI,UV890WX,Argento,1700,Manuale,21000
BMW,WX123YZ,Nero,2400,Automatico,39000
AUDI,YZ456AB,Grigio,2000,Manuale,30000
MERCEDES,AB789CD,Rosso,2300,Automatico,38000
TOYOTA,CD012EF,Bianco,1600,Manuale,20000
BMW,EF345GH,Argento,2500,Automatico,41000
AUDI,GH678IJ,Blu,2600,Manuale,42000
MERCEDES,IJ901KL,Rosso,1800,Automatico,29000
TOYOTA,KL234MN,Grigio,2300,Manuale,38000
BMW,MN567OP,Nero,2000,Automatico,24000
AUDI,OP901QR,Bianco,2500,Manuale,40000
MERCEDES,QR234ST,Blu,1900,Automatico,30000
TOYOTA,ST567UV,Rosso,2200,Manuale,37000
AUDI,UV890WX,Argento,1700,Manuale,21000
BMW,WX123YZ,Nero,2400,Automatico,39000
AUDI,YZ456AB,Grigio,2000,Manuale,30000
MERCEDES,AB789CD,Rosso,2300,Automatico,38000
TOYOTA,CD012EF,Bianco,1600,Manuale,20000
BMW,EF345GH,Argento,2500,Automatico,41000
AUDI,GH678IJ,Blu,2600,Manuale,42000
MERCEDES,IJ901KL,Rosso,1800,Automatico,29000
TOYOTA,KL234MN,Grigio,2300,Manuale,38000
BMW,MN567OP,Nero,2000,Automatico,24000
AUDI,OP901QR,Bianco,2500,Manuale,40000
MERCEDES,QR234ST,Blu,1900,Automatico,30000
TOYOTA,ST567UV,Rosso,2200,Manuale,37000
AUDI,UV890WX,Argento,1700,Manuale,21000
BMW,WX123YZ,Nero,2400,Automatico,39000
AUDI,YZ456AB,Grigio,2000,Manuale,30000
MERCEDES,AB789CD,Rosso,2300,Automatico,38000
TOYOTA,CD012EF,Bianco,1600,Manuale,20000
BMW,EF345GH,Argento,2500,Automatico,41000
AUDI,GH678IJ,Blu,2600,Manuale,42000
MERCEDES,IJ901KL,Rosso,1800,Automatico,29000
TOYOTA,KL234MN,Grigio,2300,Manuale,38000
BMW,MN567OP,Nero,2000,Automatico,24000
AUDI,OP901QR,Bianco,2500,Manuale,40000
MERCEDES,QR234ST,Blu,1900,Automatico,30000
TOYOTA,ST567UV,Rosso,2200,Manuale,37000
AUDI,UV890WX,Argento,1700,Manuale,21000
BMW,WX123YZ,Nero,2400,Automatico,39000
AUDI,YZ456AB,Grigio,2000,Manuale,30000
MERCEDES,AB789CD,Rosso,2300,Automatico,38000
TOYOTA,CD012EF,Bianco,1600,Manuale,20000
BMW,EF345GH,Argento,2500,Automatico,41000
AUDI,GH678IJ,Blu,2600,Manuale,42000
MERCEDES,IJ901KL,Rosso,1800,Automatico,29000
TOYOTA,KL234MN,Grigio,2300,Manuale,38000
BMW,MN567OP,Nero,2000,Automatico,24000
AUDI,OP901QR,Bianco,2500,Manuale,40000
MERCEDES,QR234ST,Blu,1900,Automatico,30000
TOYOTA,ST567UV,Rosso,2200,Manuale,37000
AUDI,UV890WX,Argento,1700,Manuale,21000
BMW,WX123YZ,Nero,2400,Automatico,39000
AUDI,YZ456AB,Grigio,2000,Manuale,30000
MERCEDES,AB789CD,Rosso,2300,Automatico,38000
TOYOTA,CD012EF,Bianco,1600,Manuale,20000
BMW,EF345GH,Argento,2500,Automatico,41000
AUDI,GH678IJ,Blu,2600,Manuale,42000
MERCEDES,IJ901KL,Rosso,1800,Automatico,29000
TOYOTA,KL234MN,Grigio,2300,Manuale,38000
BMW,MN567OP,Nero,2000,Automatico,24000
AUDI,OP901QR,Bianco,2500,Manuale,40000
MERCEDES,QR234ST,Blu,1900,Automatico,30000
TOYOTA,ST567UV,Rosso,2200,Manuale,37000
AUDI,UV890WX,Argento,1700,Manuale,21000
BMW,WX123YZ,Nero,2400,Automatico,39000
AUDI,YZ456AB,Grigio,2000,Manuale,30000
MERCEDES,AB789CD,Rosso,2300,Automatico,38000
TOYOTA,CD012EF,Bianco,1600,Manuale,20000
BMW,EF345GH,Argento,2500,Automatico,41000
AUDI,GH678IJ,Blu,2600,Manuale,42000
MERCEDES,IJ901KL,Rosso,1800,Automatico,29000
TOYOTA,KL234MN,Grigio,2300,Manuale,38000
BMW,MN567OP,Nero,2000,Automatico,24000
AUDI,OP901QR,Bianco,2500,Manuale,40000
MERCEDES,QR234ST,Blu,1900,Automatico,30000
TOYOTA,ST567UV,Rosso,2200,Manuale,37000
AUDI,UV890WX,Argento,1700,Manuale,21000
BMW,WX123YZ,Nero,2400,Automatico,39000
