(1, 'Mercedes', 'CJ842SJ', 'grigio', 2000, 'Automatico', 34865),
(2, 'BMW', 'MW677DG', 'blu', 2200, 'Manuale', 4710),
(3, 'BMW', 'EP223ND', 'blu', 2000, 'Automatico', 27082),
(4, 'Mercedes', 'TG192JX', 'verde', 1400, 'Manuale', 22936),
(5, 'Toyota', 'BG313ZP', 'giallo', 2000, 'Manuale', 12829),
(6, 'Toyota', 'ZL598MN', 'rosa', 1600, 'Manuale', 31958),
(7, 'BMW', 'OW608BY', 'blu', 2600, 'Manuale', 23942),
(8, 'Mercedes', 'QF613PJ', 'nero', 2400, 'Manuale', 25804),
(9, 'Toyota', 'UK618BL', 'viola', 2400, 'Manuale', 11194),
(10, 'Toyota', 'LT456NU', 'viola', 1400, 'Manuale', 39299),
(11, 'Toyota', 'KK170IV', 'verde', 1400, 'Manuale', 32902),
(12, 'Toyota', 'RI684PM', 'rosso', 1800, 'Automatico', 17872),
(13, 'Mercedes', 'HK391AQ', 'arancione', 1800, 'Automatico', 38906),
(14, 'BMW', 'YC541UF', 'viola', 2200, 'Automatico', 32294),
(15, 'Toyota', 'YR103CN', 'marrone', 2600, 'Automatico', 8529),
(16, 'Mercedes', 'SS609DT', 'rosso', 1400, 'Manuale', 10997),
(17, 'BMW', 'ZJ422EW', 'grigio', 2000, 'Manuale', 37865),
(18, 'Mercedes', 'YI664LK', 'nero', 2600, 'Automatico', 33276),
(19, 'Audi', 'BA252WL', 'marrone', 1600, 'Manuale', 7788),
(20, 'Toyota', 'GI659RK', 'nero', 2400, 'Automatico', 25367),
(21, 'Toyota', 'FH913KW', 'arancione', 2400, 'Manuale', 34080),
(22, 'Toyota', 'VG971WJ', 'grigio', 2000, 'Automatico', 36693),
(23, 'Mercedes', 'TK674OP', 'viola', 2000, 'Manuale', 33984),
(24, 'BMW', 'GV561GX', 'arancione', 2000, 'Manuale', 27333),
(25, 'Mercedes', 'NB768HY', 'viola', 2000, 'Manuale', 5326),
(26, 'Audi', 'QE329ZN', 'blu', 2200, 'Automatico', 39994),
(27, 'Toyota', 'AT232VE', 'blu', 2000, 'Manuale', 8113),
(28, 'BMW', 'KX595QK', 'rosa', 1400, 'Automatico', 11515),
(29, 'Audi', 'QQ530HS', 'marrone', 1600, 'Manuale', 36582),
(30, 'BMW', 'UK115FJ', 'marrone', 1600, 'Manuale', 30456),
(31, 'BMW', 'CY652FN', 'rosso', 1400, 'Automatico', 18170),
(32, 'Audi', 'XO500RD', 'blu', 1400, 'Manuale', 23099),
(33, 'Toyota', 'BB572VM', 'grigio', 2000, 'Manuale', 24586),
(34, 'Toyota', 'PE800TY', 'viola', 2000, 'Automatico', 14261),
(35, 'BMW', 'HM469DD', 'marrone', 2600, 'Automatico', 14774),
(36, 'BMW', 'CQ473GP', 'blu', 1800, 'Automatico', 32718),
(37, 'Audi', 'BY870OM', 'arancione', 2600, 'Manuale', 18058),
(38, 'BMW', 'SU737LA', 'rosa', 1200, 'Automatico', 27304),
(39, 'BMW', 'DO997DO', 'blu', 2200, 'Manuale', 22761),
(40, 'BMW', 'NX729PJ', 'verde', 2400, 'Manuale', 9362),
(41, 'Audi', 'WX381SB', 'verde', 1200, 'Manuale', 10788),
(42, 'Toyota', 'PZ934CI', 'arancione', 2600, 'Automatico', 2582),
(43, 'Toyota', 'QS921QM', 'rosa', 2600, 'Automatico', 16329),
(44, 'BMW', 'HF165LD', 'grigio', 1600, 'Automatico', 34125),
(45, 'BMW', 'MQ561KL', 'rosa', 1400, 'Automatico', 4946),
(46, 'Audi', 'LA306QA', 'nero', 2400, 'Manuale', 18303),
(47, 'Toyota', 'SR112GL', 'arancione', 1800, 'Manuale', 6888),
(48, 'Audi', 'KS467HK', 'blu', 2200, 'Automatico', 29924),
(49, 'BMW', 'LY455BQ', 'viola', 1600, 'Manuale', 36046),
(50, 'Toyota', 'OS679BG', 'viola', 1200, 'Manuale', 26040),
(51, 'Mercedes', 'SX630FA', 'arancione', 2200, 'Automatico', 9423),
(52, 'Mercedes', 'JR592ZD', 'viola', 1800, 'Manuale', 30834),
(53, 'Audi', 'XA259SO', 'nero', 1800, 'Automatico', 23005),
(54, 'Mercedes', 'SR582AW', 'nero', 2400, 'Automatico', 24222),
(55, 'Audi', 'UM670CK', 'marrone', 2200, 'Manuale', 22505),
(56, 'BMW', 'CY618DN', 'blu', 1600, 'Manuale', 3762),
