(1, 'Mercedes', 'HJ302TI', 'giallo', 1200, 'Automatico', 10274),
(2, 'Mercedes', 'NZ608FB', 'nero', 2400, 'Manuale', 23246),
(3, 'Mercedes', 'OQ197FY', 'rosa', 1200, 'Manuale', 43832),
(4, 'Toyota', 'QP229IT', 'verde', 1400, 'Manuale', 38540),
(5, 'Mercedes', 'NW654LN', 'marrone', 2400, 'Manuale', 51858),
(6, 'Toyota', 'QT779DP', 'rosso', 2400, 'Automatico', 64261),
(7, 'BMW', 'GS560HO', 'marrone', 2400, 'Automatico', 38435),
(8, 'Toyota', 'YT720LM', 'viola', 1400, 'Automatico', 50620),
(9, 'Audi', 'OH616EJ', 'blu', 2400, 'Automatico', 58735),
(10, 'BMW', 'DR653CS', 'arancione', 1400, 'Automatico', 23913),
(11, 'Audi', 'OQ767BE', 'viola', 1600, 'Manuale', 65101),
(12, 'Mercedes', 'ZC530AE', 'rosso', 2400, 'Automatico', 43765),
(13, 'Audi', 'XA577FB', 'giallo', 2000, 'Automatico', 62970),
(14, 'BMW', 'YF948LO', 'rosso', 1400, 'Manuale', 28018),
(15, 'BMW', 'DZ696VS', 'rosso', 2200, 'Manuale', 43880),
(16, 'Mercedes', 'VF995RR', 'giallo', 1200, 'Manuale', 61365),
(17, 'Audi', 'VU772RZ', 'marrone', 1600, 'Automatico', 73563),
(18, 'Toyota', 'EG616IE', 'blu', 1600, 'Manuale', 79175),
(19, 'Toyota', 'XT182XE', 'grigio', 1400, 'Manuale', 27949),
(20, 'Audi', 'AQ917YU', 'rosa', 1200, 'Automatico', 39221),
(21, 'Toyota', 'NQ618SP', 'rosso', 2200, 'Manuale', 42970),
(22, 'Audi', 'ZD379IB', 'arancione', 1400, 'Manuale', 21058),
(23, 'Audi', 'SQ789LL', 'rosa', 2400, 'Manuale', 26319),
(24, 'Mercedes', 'MU470BO', 'viola', 2600, 'Manuale', 72474),
(25, 'Toyota', 'BR342TC', 'grigio', 1400, 'Manuale', 33759),
(26, 'Toyota', 'LM781YJ', 'viola', 1200, 'Automatico', 21640),
(27, 'Mercedes', 'WC984VV', 'marrone', 1800, 'Automatico', 74188),
(28, 'BMW', 'NN373MO', 'rosa', 2400, 'Manuale', 57763),
(29, 'BMW', 'FH552KE', 'grigio', 2000, 'Manuale', 29508),
(30, 'Toyota', 'AD848FZ', 'giallo', 1800, 'Manuale', 14512),
(31, 'Mercedes', 'AZ591LT', 'rosso', 2600, 'Manuale', 11146),
(32, 'Audi', 'HN555AI', 'arancione', 2000, 'Manuale', 10785),
(33, 'Audi', 'JW608CH', 'rosa', 1200, 'Automatico', 21678),
(34, 'Toyota', 'YF327EN', 'verde', 2600, 'Manuale', 39144),
(35, 'Toyota', 'YY134RY', 'blu', 1800, 'Manuale', 76641),
(36, 'BMW', 'QW325PR', 'nero', 1400, 'Automatico', 31301),
