cliente_id,auto_id,data,tipo,prezzo,concessionaria_id
93,311,2010-05-27,VENDITA,31262,28
94,530,2011-08-02,ACQUISTO,31844,45
94,414,2013-11-28,VENDITA,33898,38
75,882,2022-07-26,ACQUISTO,27954,40
62,133,2023-11-29,VENDITA,24364,24
79,724,2008-07-05,ACQUISTO,27627,33
3,738,2012-09-05,ACQUISTO,33013,36
31,800,2008-12-16,VENDITA,33066,44
87,251,2008-05-24,VENDITA,40183,46
72,229,2018-05-12,VENDITA,20443,10
72,897,2015-01-16,ACQUISTO,22851,11
22,670,2012-03-13,ACQUISTO,30160,39
75,686,2023-07-25,VENDITA,30414,9
21,801,2019-05-26,VENDITA,38184,36
59,379,2013-03-21,ACQUISTO,48696,33
15,302,2013-11-25,VENDITA,41922,3
87,335,2009-10-30,VENDITA,35155,12
48,373,2014-11-22,ACQUISTO,26058,7
13,94,2021-08-11,VENDITA,28913,32
89,594,2013-02-15,ACQUISTO,35657,8
16,854,2014-09-09,VENDITA,41384,18
36,496,2009-01-29,VENDITA,35933,49
82,385,2020-06-11,ACQUISTO,30673,34
62,484,2019-02-12,ACQUISTO,29491,27
14,106,2007-08-11,VENDITA,29080,24
25,676,2015-05-22,ACQUISTO,41495,44
78,340,2012-09-15,ACQUISTO,40676,9
22,900,2021-07-20,VENDITA,25571,29
72,294,2009-11-18,ACQUISTO,27886,43
65,36,2022-03-28,VENDITA,38817,4
97,366,2017-09-07,ACQUISTO,22740,21
46,52,2005-07-02,VENDITA,32055,38
75,883,2017-11-09,ACQUISTO,24489,19
8,354,2022-04-27,ACQUISTO,38627,19
21,339,2013-12-27,ACQUISTO,35112,35
88,80,2021-12-09,VENDITA,26954,23
55,10,2014-06-21,ACQUISTO,25376,29
9,161,2012-04-04,VENDITA,34821,46
9,710,2016-11-06,ACQUISTO,44878,35
13,24,2022-03-29,ACQUISTO,48821,44
57,691,2013-06-24,ACQUISTO,37791,37
53,913,2022-01-10,VENDITA,26351,36
36,920,2016-06-20,ACQUISTO,33348,40
5,44,2009-12-26,ACQUISTO,35493,49
25,839,2006-03-28,ACQUISTO,34352,20
3,923,2021-09-13,ACQUISTO,23593,16
99,406,2015-09-19,VENDITA,43922,19
22,11,2016-07-15,ACQUISTO,31681,35
37,435,2021-06-07,VENDITA,37293,39
9,732,2010-01-11,VENDITA,29049,13
67,31,2005-11-15,ACQUISTO,38547,44
31,514,2022-02-13,ACQUISTO,27276,40
39,303,2013-10-08,ACQUISTO,21103,14
89,845,2011-02-08,VENDITA,32132,26
17,510,2021-11-27,VENDITA,31987,48
45,379,2020-04-26,VENDITA,41970,25
21,671,2012-11-25,VENDITA,47602,26
91,18,2013-07-31,VENDITA,43712,32
87,155,2018-05-16,ACQUISTO,20043,8
69,580,2022-09-28,VENDITA,21842,5
40,277,2007-10-11,ACQUISTO,26581,33
36,935,2021-12-21,VENDITA,26466,21
22,998,2016-05-27,ACQUISTO,47042,12
49,224,2017-07-10,VENDITA,28758,27
22,887,2014-06-13,VENDITA,42929,49
77,206,2021-10-03,ACQUISTO,43806,37
91,672,2021-10-22,VENDITA,44187,39
40,372,2022-07-22,ACQUISTO,36392,48
78,597,2023-08-13,VENDITA,27803,4
14,101,2021-09-01,ACQUISTO,26065,9
13,891,2006-05-25,ACQUISTO,40074,20
94,34,2022-04-20,VENDITA,46769,5
60,79,2005-12-25,ACQUISTO,42598,19
25,621,2010-08-11,ACQUISTO,27095,35
